status file for recon-all
Mon Jan  1 22:25:23 UTC 2018
#@# MotionCor Mon Jan  1 22:25:35 UTC 2018
#@# Talairach Mon Jan  1 22:26:01 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 22:29:54 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 22:29:54 UTC 2018
#@# Intensity Normalization Mon Jan  1 22:34:58 UTC 2018
#@# Skull Stripping Mon Jan  1 22:40:21 UTC 2018
#@# EM Registration Mon Jan  1 23:31:29 UTC 2018
#@# CA Normalize Tue Jan  2 00:31:28 UTC 2018
#@# CA Reg Tue Jan  2 00:35:46 UTC 2018
#@# SubCort Seg Tue Jan  2 09:10:21 UTC 2018
#@# Merge ASeg Tue Jan  2 12:25:28 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 12:25:28 UTC 2018
#@# Mask BFS Tue Jan  2 12:33:35 UTC 2018
#@# WM Segmentation Tue Jan  2 12:33:40 UTC 2018
#@# Fill Tue Jan  2 12:40:28 UTC 2018
#@# Tessellate lh Tue Jan  2 12:42:30 UTC 2018
#@# Tessellate rh Tue Jan  2 12:42:46 UTC 2018
#@# Smooth1 lh Tue Jan  2 12:43:03 UTC 2018
#@# Smooth1 rh Tue Jan  2 12:43:16 UTC 2018
#@# Inflation1 lh Tue Jan  2 12:43:30 UTC 2018
#@# Inflation1 rh Tue Jan  2 12:44:57 UTC 2018
#@# QSphere lh Tue Jan  2 12:46:20 UTC 2018
#@# QSphere rh Tue Jan  2 12:55:05 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 13:03:29 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 13:03:29 UTC 2018
#@# Fix Topology lh Tue Jan  2 13:03:29 UTC 2018
#@# Fix Topology rh Tue Jan  2 15:27:49 UTC 2018
#@# Make White Surf lh Tue Jan  2 17:19:39 UTC 2018
#@# Make White Surf rh Tue Jan  2 17:30:56 UTC 2018
#@# Smooth2 lh Tue Jan  2 17:42:12 UTC 2018
#@# Smooth2 rh Tue Jan  2 17:42:24 UTC 2018
#@# Inflation2 lh Tue Jan  2 17:42:36 UTC 2018
#@# Inflation2 rh Tue Jan  2 17:43:58 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 17:45:17 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 17:48:39 UTC 2018
#@# Curvature Stats lh Tue Jan  2 17:52:00 UTC 2018
#@# Curvature Stats rh Tue Jan  2 17:52:10 UTC 2018
#@# Sphere lh Tue Jan  2 17:52:20 UTC 2018
#@# Sphere rh Tue Jan  2 19:59:12 UTC 2018
#@# Surf Reg lh Tue Jan  2 22:05:15 UTC 2018
#@# Surf Reg rh Wed Jan  3 00:30:17 UTC 2018
#@# Jacobian white lh Wed Jan  3 03:08:48 UTC 2018
#@# Jacobian white rh Wed Jan  3 03:08:53 UTC 2018
#@# AvgCurv lh Wed Jan  3 03:08:58 UTC 2018
#@# AvgCurv rh Wed Jan  3 03:09:02 UTC 2018
#@# Cortical Parc lh Wed Jan  3 03:09:07 UTC 2018
#@# Cortical Parc rh Wed Jan  3 03:09:48 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 03:10:26 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 03:50:25 UTC 2018
#@# Surf Volume lh Wed Jan  3 04:29:08 UTC 2018
#@# Surf Volume rh Wed Jan  3 04:29:19 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 04:29:28 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 05:02:21 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 05:06:25 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 05:10:16 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 05:11:09 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 05:12:03 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 05:14:05 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 05:15:58 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 05:16:42 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 05:17:23 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 05:19:16 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 05:21:03 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 05:21:22 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 05:21:41 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 05:22:55 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 05:34:59 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 05:47:21 UTC 2018
#@# APas-to-ASeg Wed Jan  3 05:59:23 UTC 2018
#@# ASeg Stats Wed Jan  3 05:59:42 UTC 2018
#@# WMParc Wed Jan  3 06:11:23 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 06:45:41 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 06:59:09 UTC 2018
recon-all -s 3232 finished without error at Wed Jan  3 07:12:06 UTC 2018
