status file for recon-all
Wed Jan  3 00:59:12 UTC 2018
#@# MotionCor Wed Jan  3 00:59:22 UTC 2018
#@# Talairach Wed Jan  3 00:59:54 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 01:04:41 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 01:04:41 UTC 2018
#@# Intensity Normalization Wed Jan  3 01:11:13 UTC 2018
#@# Skull Stripping Wed Jan  3 01:17:15 UTC 2018
#@# EM Registration Wed Jan  3 02:13:15 UTC 2018
#@# CA Normalize Wed Jan  3 02:54:22 UTC 2018
#@# CA Reg Wed Jan  3 02:57:57 UTC 2018
#@# SubCort Seg Wed Jan  3 11:29:50 UTC 2018
#@# Merge ASeg Wed Jan  3 14:14:04 UTC 2018
#@# Intensity Normalization2 Wed Jan  3 14:14:04 UTC 2018
#@# Mask BFS Wed Jan  3 14:23:15 UTC 2018
#@# WM Segmentation Wed Jan  3 14:23:22 UTC 2018
#@# Fill Wed Jan  3 14:29:07 UTC 2018
#@# Tessellate lh Wed Jan  3 14:31:25 UTC 2018
#@# Tessellate rh Wed Jan  3 14:31:43 UTC 2018
#@# Smooth1 lh Wed Jan  3 14:32:02 UTC 2018
#@# Smooth1 rh Wed Jan  3 14:32:14 UTC 2018
#@# Inflation1 lh Wed Jan  3 14:32:27 UTC 2018
#@# Inflation1 rh Wed Jan  3 14:33:49 UTC 2018
#@# QSphere lh Wed Jan  3 14:35:11 UTC 2018
#@# QSphere rh Wed Jan  3 14:43:30 UTC 2018
#@# Fix Topology Copy lh Wed Jan  3 14:52:50 UTC 2018
#@# Fix Topology Copy rh Wed Jan  3 14:52:50 UTC 2018
#@# Fix Topology lh Wed Jan  3 14:52:50 UTC 2018
#@# Fix Topology rh Wed Jan  3 15:21:52 UTC 2018
#@# Make White Surf lh Wed Jan  3 15:48:51 UTC 2018
#@# Make White Surf rh Wed Jan  3 16:00:04 UTC 2018
#@# Smooth2 lh Wed Jan  3 16:11:37 UTC 2018
#@# Smooth2 rh Wed Jan  3 16:11:50 UTC 2018
#@# Inflation2 lh Wed Jan  3 16:12:03 UTC 2018
#@# Inflation2 rh Wed Jan  3 16:13:29 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 16:14:55 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 16:18:07 UTC 2018
#@# Curvature Stats lh Wed Jan  3 16:21:19 UTC 2018
#@# Curvature Stats rh Wed Jan  3 16:21:29 UTC 2018
#@# Sphere lh Wed Jan  3 16:21:38 UTC 2018
#@# Sphere rh Wed Jan  3 17:55:30 UTC 2018
#@# Surf Reg lh Wed Jan  3 19:45:19 UTC 2018
#@# Surf Reg rh Wed Jan  3 21:45:45 UTC 2018
#@# Jacobian white lh Wed Jan  3 23:41:53 UTC 2018
#@# Jacobian white rh Wed Jan  3 23:41:58 UTC 2018
#@# AvgCurv lh Wed Jan  3 23:42:02 UTC 2018
#@# AvgCurv rh Wed Jan  3 23:42:05 UTC 2018
#@# Cortical Parc lh Wed Jan  3 23:42:09 UTC 2018
#@# Cortical Parc rh Wed Jan  3 23:42:41 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 23:43:13 UTC 2018
#@# Make Pial Surf rh Thu Jan  4 00:16:40 UTC 2018
#@# Surf Volume lh Thu Jan  4 00:52:13 UTC 2018
#@# Surf Volume rh Thu Jan  4 00:52:20 UTC 2018
#@# Cortical ribbon mask Thu Jan  4 00:52:27 UTC 2018
#@# Parcellation Stats lh Thu Jan  4 01:23:17 UTC 2018
#@# Parcellation Stats rh Thu Jan  4 01:26:45 UTC 2018
#@# Cortical Parc 2 lh Thu Jan  4 01:30:11 UTC 2018
#@# Cortical Parc 2 rh Thu Jan  4 01:30:58 UTC 2018
#@# Parcellation Stats 2 lh Thu Jan  4 01:31:44 UTC 2018
#@# Parcellation Stats 2 rh Thu Jan  4 01:33:27 UTC 2018
#@# Cortical Parc 3 lh Thu Jan  4 01:35:15 UTC 2018
#@# Cortical Parc 3 rh Thu Jan  4 01:35:51 UTC 2018
#@# Parcellation Stats 3 lh Thu Jan  4 01:36:28 UTC 2018
#@# Parcellation Stats 3 rh Thu Jan  4 01:38:10 UTC 2018
#@# WM/GM Contrast lh Thu Jan  4 01:39:50 UTC 2018
#@# WM/GM Contrast rh Thu Jan  4 01:40:07 UTC 2018
#@# Relabel Hypointensities Thu Jan  4 01:40:21 UTC 2018
#@# AParc-to-ASeg aparc Thu Jan  4 01:41:27 UTC 2018
#@# AParc-to-ASeg a2009s Thu Jan  4 01:55:46 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Jan  4 02:09:23 UTC 2018
#@# APas-to-ASeg Thu Jan  4 02:23:06 UTC 2018
#@# ASeg Stats Thu Jan  4 02:23:26 UTC 2018
#@# WMParc Thu Jan  4 02:35:11 UTC 2018
#@# BA_exvivo Labels lh Thu Jan  4 03:04:42 UTC 2018
#@# BA_exvivo Labels rh Thu Jan  4 03:16:31 UTC 2018
recon-all -s 3364 finished without error at Thu Jan  4 03:28:41 UTC 2018
