status file for recon-all
Mon Jan  1 22:26:12 UTC 2018
#@# MotionCor Mon Jan  1 22:26:25 UTC 2018
#@# Talairach Mon Jan  1 22:26:53 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 22:30:19 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 22:30:19 UTC 2018
#@# Intensity Normalization Mon Jan  1 22:34:46 UTC 2018
#@# Skull Stripping Mon Jan  1 22:40:08 UTC 2018
#@# EM Registration Mon Jan  1 23:36:19 UTC 2018
#@# CA Normalize Tue Jan  2 00:30:46 UTC 2018
#@# CA Reg Tue Jan  2 00:35:05 UTC 2018
#@# SubCort Seg Tue Jan  2 08:03:14 UTC 2018
#@# Merge ASeg Tue Jan  2 11:00:57 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 11:00:57 UTC 2018
#@# Mask BFS Tue Jan  2 11:09:18 UTC 2018
#@# WM Segmentation Tue Jan  2 11:09:23 UTC 2018
#@# Fill Tue Jan  2 11:15:01 UTC 2018
#@# Tessellate lh Tue Jan  2 11:17:06 UTC 2018
#@# Tessellate rh Tue Jan  2 11:17:22 UTC 2018
#@# Smooth1 lh Tue Jan  2 11:17:38 UTC 2018
#@# Smooth1 rh Tue Jan  2 11:17:50 UTC 2018
#@# Inflation1 lh Tue Jan  2 11:18:01 UTC 2018
#@# Inflation1 rh Tue Jan  2 11:19:14 UTC 2018
#@# QSphere lh Tue Jan  2 11:20:24 UTC 2018
#@# QSphere rh Tue Jan  2 11:27:27 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 11:34:29 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 11:34:29 UTC 2018
#@# Fix Topology lh Tue Jan  2 11:34:29 UTC 2018
#@# Fix Topology rh Tue Jan  2 14:29:52 UTC 2018
#@# Make White Surf lh Tue Jan  2 18:06:01 UTC 2018
#@# Make White Surf rh Tue Jan  2 18:15:52 UTC 2018
#@# Smooth2 lh Tue Jan  2 18:25:27 UTC 2018
#@# Smooth2 rh Tue Jan  2 18:25:38 UTC 2018
#@# Inflation2 lh Tue Jan  2 18:25:49 UTC 2018
#@# Inflation2 rh Tue Jan  2 18:27:04 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 18:28:20 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 18:31:26 UTC 2018
#@# Curvature Stats lh Tue Jan  2 18:34:28 UTC 2018
#@# Curvature Stats rh Tue Jan  2 18:34:36 UTC 2018
#@# Sphere lh Tue Jan  2 18:34:45 UTC 2018
#@# Sphere rh Tue Jan  2 20:20:11 UTC 2018
#@# Surf Reg lh Tue Jan  2 21:25:06 UTC 2018
#@# Surf Reg rh Tue Jan  2 23:15:12 UTC 2018
#@# Jacobian white lh Wed Jan  3 00:58:17 UTC 2018
#@# Jacobian white rh Wed Jan  3 00:58:22 UTC 2018
#@# AvgCurv lh Wed Jan  3 00:58:26 UTC 2018
#@# AvgCurv rh Wed Jan  3 00:58:29 UTC 2018
#@# Cortical Parc lh Wed Jan  3 00:58:32 UTC 2018
#@# Cortical Parc rh Wed Jan  3 00:59:11 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 00:59:50 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 01:37:10 UTC 2018
#@# Surf Volume lh Wed Jan  3 02:14:56 UTC 2018
#@# Surf Volume rh Wed Jan  3 02:15:05 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 02:15:12 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 02:41:47 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 02:44:55 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 02:48:03 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 02:48:49 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 02:49:34 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 02:51:12 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 02:52:49 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 02:53:24 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 02:53:59 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 02:55:36 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 02:57:11 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 02:57:29 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 02:57:46 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 02:58:47 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 03:11:19 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 03:23:45 UTC 2018
#@# APas-to-ASeg Wed Jan  3 03:36:31 UTC 2018
#@# ASeg Stats Wed Jan  3 03:36:51 UTC 2018
#@# WMParc Wed Jan  3 03:49:46 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 04:20:43 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 04:33:55 UTC 2018
recon-all -s 3237 finished without error at Wed Jan  3 04:46:40 UTC 2018
