status file for recon-all
Wed Jan  3 08:26:17 UTC 2018
#@# MotionCor Wed Jan  3 08:26:29 UTC 2018
#@# Talairach Wed Jan  3 08:27:03 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 08:35:00 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 08:35:01 UTC 2018
#@# Intensity Normalization Wed Jan  3 08:42:56 UTC 2018
#@# Skull Stripping Wed Jan  3 08:50:29 UTC 2018
#@# EM Registration Wed Jan  3 10:02:25 UTC 2018
#@# CA Normalize Wed Jan  3 10:53:13 UTC 2018
#@# CA Reg Wed Jan  3 10:58:03 UTC 2018
#@# SubCort Seg Wed Jan  3 19:11:18 UTC 2018
#@# Merge ASeg Wed Jan  3 21:43:43 UTC 2018
#@# Intensity Normalization2 Wed Jan  3 21:43:43 UTC 2018
#@# Mask BFS Wed Jan  3 21:53:07 UTC 2018
#@# WM Segmentation Wed Jan  3 21:53:14 UTC 2018
#@# Fill Wed Jan  3 21:58:09 UTC 2018
#@# Tessellate lh Wed Jan  3 22:00:21 UTC 2018
#@# Tessellate rh Wed Jan  3 22:00:38 UTC 2018
#@# Smooth1 lh Wed Jan  3 22:00:55 UTC 2018
#@# Smooth1 rh Wed Jan  3 22:01:08 UTC 2018
#@# Inflation1 lh Wed Jan  3 22:01:21 UTC 2018
#@# Inflation1 rh Wed Jan  3 22:02:40 UTC 2018
#@# QSphere lh Wed Jan  3 22:04:00 UTC 2018
#@# QSphere rh Wed Jan  3 22:13:04 UTC 2018
#@# Fix Topology Copy lh Wed Jan  3 22:22:04 UTC 2018
#@# Fix Topology Copy rh Wed Jan  3 22:22:04 UTC 2018
#@# Fix Topology lh Wed Jan  3 22:22:04 UTC 2018
#@# Fix Topology rh Wed Jan  3 23:21:55 UTC 2018
#@# Make White Surf lh Thu Jan  4 00:05:34 UTC 2018
#@# Make White Surf rh Thu Jan  4 00:16:57 UTC 2018
#@# Smooth2 lh Thu Jan  4 00:28:20 UTC 2018
#@# Smooth2 rh Thu Jan  4 00:28:32 UTC 2018
#@# Inflation2 lh Thu Jan  4 00:28:45 UTC 2018
#@# Inflation2 rh Thu Jan  4 00:30:08 UTC 2018
#@# Curv .H and .K lh Thu Jan  4 00:31:33 UTC 2018
#@# Curv .H and .K rh Thu Jan  4 00:34:40 UTC 2018
#@# Curvature Stats lh Thu Jan  4 00:37:47 UTC 2018
#@# Curvature Stats rh Thu Jan  4 00:37:55 UTC 2018
#@# Sphere lh Thu Jan  4 00:38:04 UTC 2018
#@# Sphere rh Thu Jan  4 02:05:59 UTC 2018
#@# Surf Reg lh Thu Jan  4 03:46:19 UTC 2018
#@# Surf Reg rh Thu Jan  4 05:39:34 UTC 2018
#@# Jacobian white lh Thu Jan  4 07:29:38 UTC 2018
#@# Jacobian white rh Thu Jan  4 07:29:42 UTC 2018
#@# AvgCurv lh Thu Jan  4 07:29:46 UTC 2018
#@# AvgCurv rh Thu Jan  4 07:29:49 UTC 2018
#@# Cortical Parc lh Thu Jan  4 07:29:53 UTC 2018
#@# Cortical Parc rh Thu Jan  4 07:30:27 UTC 2018
#@# Make Pial Surf lh Thu Jan  4 07:30:56 UTC 2018
#@# Make Pial Surf rh Thu Jan  4 08:01:08 UTC 2018
#@# Surf Volume lh Thu Jan  4 08:31:10 UTC 2018
#@# Surf Volume rh Thu Jan  4 08:31:17 UTC 2018
#@# Cortical ribbon mask Thu Jan  4 08:31:24 UTC 2018
#@# Parcellation Stats lh Thu Jan  4 08:58:49 UTC 2018
#@# Parcellation Stats rh Thu Jan  4 09:01:49 UTC 2018
#@# Cortical Parc 2 lh Thu Jan  4 09:04:45 UTC 2018
#@# Cortical Parc 2 rh Thu Jan  4 09:05:26 UTC 2018
#@# Parcellation Stats 2 lh Thu Jan  4 09:06:06 UTC 2018
#@# Parcellation Stats 2 rh Thu Jan  4 09:07:33 UTC 2018
#@# Cortical Parc 3 lh Thu Jan  4 09:09:05 UTC 2018
#@# Cortical Parc 3 rh Thu Jan  4 09:09:37 UTC 2018
#@# Parcellation Stats 3 lh Thu Jan  4 09:10:11 UTC 2018
#@# Parcellation Stats 3 rh Thu Jan  4 09:11:44 UTC 2018
#@# WM/GM Contrast lh Thu Jan  4 09:13:14 UTC 2018
#@# WM/GM Contrast rh Thu Jan  4 09:13:26 UTC 2018
#@# Relabel Hypointensities Thu Jan  4 09:13:39 UTC 2018
#@# AParc-to-ASeg aparc Thu Jan  4 09:14:35 UTC 2018
#@# AParc-to-ASeg a2009s Thu Jan  4 09:27:39 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Jan  4 09:40:23 UTC 2018
#@# APas-to-ASeg Thu Jan  4 09:52:50 UTC 2018
#@# ASeg Stats Thu Jan  4 09:53:07 UTC 2018
#@# WMParc Thu Jan  4 10:04:34 UTC 2018
#@# BA_exvivo Labels lh Thu Jan  4 10:28:05 UTC 2018
#@# BA_exvivo Labels rh Thu Jan  4 10:37:43 UTC 2018
recon-all -s 3368 finished without error at Thu Jan  4 10:47:11 UTC 2018
