status file for recon-all
Wed Jan  3 08:25:27 UTC 2018
#@# MotionCor Wed Jan  3 08:25:36 UTC 2018
#@# Talairach Wed Jan  3 08:26:04 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 08:31:46 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 08:31:47 UTC 2018
#@# Intensity Normalization Wed Jan  3 08:39:13 UTC 2018
#@# Skull Stripping Wed Jan  3 08:46:33 UTC 2018
#@# EM Registration Wed Jan  3 09:49:49 UTC 2018
#@# CA Normalize Wed Jan  3 11:16:01 UTC 2018
#@# CA Reg Wed Jan  3 11:20:42 UTC 2018
#@# SubCort Seg Wed Jan  3 19:17:57 UTC 2018
#@# Merge ASeg Wed Jan  3 21:48:37 UTC 2018
#@# Intensity Normalization2 Wed Jan  3 21:48:37 UTC 2018
#@# Mask BFS Wed Jan  3 21:57:47 UTC 2018
#@# WM Segmentation Wed Jan  3 21:57:54 UTC 2018
#@# Fill Wed Jan  3 22:03:03 UTC 2018
#@# Tessellate lh Wed Jan  3 22:05:13 UTC 2018
#@# Tessellate rh Wed Jan  3 22:05:31 UTC 2018
#@# Smooth1 lh Wed Jan  3 22:05:48 UTC 2018
#@# Smooth1 rh Wed Jan  3 22:06:01 UTC 2018
#@# Inflation1 lh Wed Jan  3 22:06:14 UTC 2018
#@# Inflation1 rh Wed Jan  3 22:07:44 UTC 2018
#@# QSphere lh Wed Jan  3 22:09:13 UTC 2018
#@# QSphere rh Wed Jan  3 22:17:59 UTC 2018
#@# Fix Topology Copy lh Wed Jan  3 22:27:32 UTC 2018
#@# Fix Topology Copy rh Wed Jan  3 22:27:32 UTC 2018
#@# Fix Topology lh Wed Jan  3 22:27:32 UTC 2018
#@# Fix Topology rh Wed Jan  3 22:59:15 UTC 2018
#@# Make White Surf lh Wed Jan  3 23:25:34 UTC 2018
#@# Make White Surf rh Wed Jan  3 23:38:18 UTC 2018
#@# Smooth2 lh Wed Jan  3 23:50:11 UTC 2018
#@# Smooth2 rh Wed Jan  3 23:50:22 UTC 2018
#@# Inflation2 lh Wed Jan  3 23:50:35 UTC 2018
#@# Inflation2 rh Wed Jan  3 23:51:52 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 23:53:08 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 23:56:11 UTC 2018
#@# Curvature Stats lh Wed Jan  3 23:59:21 UTC 2018
#@# Curvature Stats rh Wed Jan  3 23:59:31 UTC 2018
#@# Sphere lh Wed Jan  3 23:59:40 UTC 2018
#@# Sphere rh Thu Jan  4 01:57:11 UTC 2018
#@# Surf Reg lh Thu Jan  4 03:45:23 UTC 2018
#@# Surf Reg rh Thu Jan  4 05:29:51 UTC 2018
#@# Jacobian white lh Thu Jan  4 07:49:06 UTC 2018
#@# Jacobian white rh Thu Jan  4 07:49:10 UTC 2018
#@# AvgCurv lh Thu Jan  4 07:49:14 UTC 2018
#@# AvgCurv rh Thu Jan  4 07:49:18 UTC 2018
#@# Cortical Parc lh Thu Jan  4 07:49:21 UTC 2018
#@# Cortical Parc rh Thu Jan  4 07:49:55 UTC 2018
#@# Make Pial Surf lh Thu Jan  4 07:50:27 UTC 2018
#@# Make Pial Surf rh Thu Jan  4 08:21:46 UTC 2018
#@# Surf Volume lh Thu Jan  4 08:53:07 UTC 2018
#@# Surf Volume rh Thu Jan  4 08:53:15 UTC 2018
#@# Cortical ribbon mask Thu Jan  4 08:53:23 UTC 2018
#@# Parcellation Stats lh Thu Jan  4 09:24:13 UTC 2018
#@# Parcellation Stats rh Thu Jan  4 09:27:08 UTC 2018
#@# Cortical Parc 2 lh Thu Jan  4 09:30:25 UTC 2018
#@# Cortical Parc 2 rh Thu Jan  4 09:31:09 UTC 2018
#@# Parcellation Stats 2 lh Thu Jan  4 09:31:56 UTC 2018
#@# Parcellation Stats 2 rh Thu Jan  4 09:33:42 UTC 2018
#@# Cortical Parc 3 lh Thu Jan  4 09:35:27 UTC 2018
#@# Cortical Parc 3 rh Thu Jan  4 09:36:00 UTC 2018
#@# Parcellation Stats 3 lh Thu Jan  4 09:36:33 UTC 2018
#@# Parcellation Stats 3 rh Thu Jan  4 09:38:07 UTC 2018
#@# WM/GM Contrast lh Thu Jan  4 09:39:43 UTC 2018
#@# WM/GM Contrast rh Thu Jan  4 09:39:57 UTC 2018
#@# Relabel Hypointensities Thu Jan  4 09:40:11 UTC 2018
#@# AParc-to-ASeg aparc Thu Jan  4 09:41:10 UTC 2018
#@# AParc-to-ASeg a2009s Thu Jan  4 09:52:04 UTC 2018
#@# AParc-to-ASeg DKTatlas Thu Jan  4 10:02:50 UTC 2018
#@# APas-to-ASeg Thu Jan  4 10:14:20 UTC 2018
#@# ASeg Stats Thu Jan  4 10:14:38 UTC 2018
#@# WMParc Thu Jan  4 10:23:26 UTC 2018
#@# BA_exvivo Labels lh Thu Jan  4 10:44:52 UTC 2018
#@# BA_exvivo Labels rh Thu Jan  4 10:54:14 UTC 2018
recon-all -s 3365 finished without error at Thu Jan  4 11:03:30 UTC 2018
