status file for recon-all
Mon Jan  1 22:26:37 UTC 2018
#@# MotionCor Mon Jan  1 22:26:46 UTC 2018
#@# Talairach Mon Jan  1 22:27:12 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 22:31:58 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 22:31:59 UTC 2018
#@# Intensity Normalization Mon Jan  1 22:38:00 UTC 2018
#@# Skull Stripping Mon Jan  1 22:43:11 UTC 2018
#@# EM Registration Mon Jan  1 23:33:27 UTC 2018
#@# CA Normalize Tue Jan  2 00:26:56 UTC 2018
#@# CA Reg Tue Jan  2 00:31:10 UTC 2018
#@# SubCort Seg Tue Jan  2 09:00:03 UTC 2018
#@# Merge ASeg Tue Jan  2 12:22:30 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 12:22:30 UTC 2018
#@# Mask BFS Tue Jan  2 12:31:02 UTC 2018
#@# WM Segmentation Tue Jan  2 12:31:07 UTC 2018
#@# Fill Tue Jan  2 12:36:44 UTC 2018
#@# Tessellate lh Tue Jan  2 12:39:02 UTC 2018
#@# Tessellate rh Tue Jan  2 12:39:19 UTC 2018
#@# Smooth1 lh Tue Jan  2 12:39:35 UTC 2018
#@# Smooth1 rh Tue Jan  2 12:39:49 UTC 2018
#@# Inflation1 lh Tue Jan  2 12:40:03 UTC 2018
#@# Inflation1 rh Tue Jan  2 12:41:27 UTC 2018
#@# QSphere lh Tue Jan  2 12:42:51 UTC 2018
#@# QSphere rh Tue Jan  2 12:51:27 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 12:59:57 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 12:59:57 UTC 2018
#@# Fix Topology lh Tue Jan  2 12:59:57 UTC 2018
#@# Fix Topology rh Tue Jan  2 22:54:48 UTC 2018
#@# Make White Surf lh Wed Jan  3 03:15:30 UTC 2018
#@# Make White Surf rh Wed Jan  3 03:26:56 UTC 2018
#@# Smooth2 lh Wed Jan  3 03:38:50 UTC 2018
#@# Smooth2 rh Wed Jan  3 03:39:02 UTC 2018
#@# Inflation2 lh Wed Jan  3 03:39:14 UTC 2018
#@# Inflation2 rh Wed Jan  3 03:40:36 UTC 2018
#@# Curv .H and .K lh Wed Jan  3 03:41:57 UTC 2018
#@# Curv .H and .K rh Wed Jan  3 03:45:17 UTC 2018
#@# Curvature Stats lh Wed Jan  3 03:48:36 UTC 2018
#@# Curvature Stats rh Wed Jan  3 03:48:46 UTC 2018
#@# Sphere lh Wed Jan  3 03:48:55 UTC 2018
#@# Sphere rh Wed Jan  3 05:48:45 UTC 2018
#@# Surf Reg lh Wed Jan  3 07:47:31 UTC 2018
#@# Surf Reg rh Wed Jan  3 10:17:17 UTC 2018
#@# Jacobian white lh Wed Jan  3 12:51:43 UTC 2018
#@# Jacobian white rh Wed Jan  3 12:51:48 UTC 2018
#@# AvgCurv lh Wed Jan  3 12:51:53 UTC 2018
#@# AvgCurv rh Wed Jan  3 12:51:57 UTC 2018
#@# Cortical Parc lh Wed Jan  3 12:52:01 UTC 2018
#@# Cortical Parc rh Wed Jan  3 12:52:39 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 12:53:17 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 13:28:21 UTC 2018
#@# Surf Volume lh Wed Jan  3 14:03:08 UTC 2018
#@# Surf Volume rh Wed Jan  3 14:03:17 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 14:03:25 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 14:24:57 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 14:28:36 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 14:32:19 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 14:33:11 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 14:34:01 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 14:35:56 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 14:37:52 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 14:38:34 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 14:39:15 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 14:41:06 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 14:42:58 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 14:43:17 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 14:43:35 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 14:44:52 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 14:58:25 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 15:11:49 UTC 2018
#@# APas-to-ASeg Wed Jan  3 15:25:02 UTC 2018
#@# ASeg Stats Wed Jan  3 15:25:22 UTC 2018
#@# WMParc Wed Jan  3 15:39:24 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 16:20:04 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 16:33:53 UTC 2018
recon-all -s 3251 finished without error at Wed Jan  3 16:47:50 UTC 2018
